price,price_per_sqft,area,bedRoom,bathroom,floorNum
0.13,1649.0,788.0,1,1,0.0
3.05,17650.0,1728.0,5,5,2.0
4.25,26235.0,1620.0,5,5,3.0
7.0,12963.0,5400.0,5,6,2.0
0.49,10378.0,472.0,2,1,1.0
3.5,24155.0,1449.0,4,3,2.0
5.25,27132.0,1935.0,4,4,2.0
4.5,33333.0,1350.0,3,3,2.0
10.0,14285.0,7000.0,5,7,4.0
0.27,12000.0,225.0,2,2,2.0
4.1,22331.0,1836.0,3,3,1.0
5.85,26423.0,2214.0,4,5,2.0
9.0,27778.0,3240.0,6,7,3.0
13.0,1992.0,65261.0,10,10,1.0
0.4,8000.0,500.0,2,1,1.0
11.95,43534.0,2745.0,12,12,4.0
13.5,50000.0,2700.0,16,16,4.0
1.3,11555.0,1125.0,3,3,2.0
0.34,12592.0,270.0,2,2,3.0
4.5,33333.0,1350.0,10,8,4.0
6.0,21097.0,2844.0,6,7,3.0
1.27,8089.0,1570.0,3,3,4.0
0.65,9028.0,720.0,3,2,1.0
0.95,10555.0,900.0,3,2,3.0
5.6,20741.0,2700.0,6,4,3.0
5.0,21367.0,2340.0,7,7,2.0
6.0,24691.0,2430.0,4,4,2.0
1.15,8518.0,1350.0,5,3,2.0
9.5,173992.0,546.0,6,6,3.0
4.05,20769.0,1950.0,3,3,2.0
3.3,19820.0,1665.0,4,3,2.0
17.0,37627.0,4518.0,5,6,2.0
1.25,11574.0,1080.0,5,5,2.0
5.6,12444.0,4500.0,34,34,4.0
3.5,32407.0,1080.0,5,4,3.0
6.5,20635.0,3150.0,4,4,2.0
18.9,41833.0,4518.0,6,8,3.0
2.0,14914.0,1341.0,6,4,3.0
5.0,43066.0,1161.0,21,21,5.0
1.9,35185.0,540.0,3,3,3.0
2.1,8386.0,2504.0,4,3,2.0
0.37,9390.0,394.0,1,1,3.0
11.0,40741.0,2700.0,4,4,2.0
8.2,25309.0,3240.0,3,3,2.0
3.25,30384.0,1070.0,4,4,3.0
1.1,55000.0,200.0,4,3,2.0
0.49,11250.0,436.0,6,3,3.0
0.42,84000.0,50.0,5,3,3.0
0.7,5397.0,1297.0,2,2,14.0
1.25,8784.0,1423.0,3,3,1.0
8.81,27191.0,3240.0,8,6,3.0
1.95,10077.0,1935.0,3,4,4.0
8.0,8000.0,10000.0,3,9,3.0
8.4,25926.0,3240.0,4,4,2.0
2.25,6367.0,3534.0,3,5,10.0
0.6,6173.0,972.0,8,3,3.0
7.35,29697.0,2475.0,6,4,3.0
8.0,11428.0,7000.0,4,4,2.0
2.4,26667.0,900.0,4,4,3.0
1.7,17980.0,945.0,2,2,3.0
1.0,11111.0,900.0,3,4,2.0
4.6,26620.0,1728.0,7,6,4.0
9.25,47803.0,1935.0,12,12,4.0
0.55,6813.0,807.0,2,1,1.0
1.35,3857.0,3500.0,5,3,3.0
8.9,32963.0,2700.0,4,4,2.0
0.44,4251.0,1035.0,3,2,1.0
1.1,11111.0,990.0,6,4,2.0
5.9,24280.0,2430.0,4,5,2.0
0.34,7555.0,450.0,1,1,1.0
4.99,18889.0,2642.0,4,4,3.0
3.99,8866.0,4500.0,4,5,4.0
13.5,29880.0,4518.0,5,5,2.0
0.52,5778.0,900.0,3,2,2.0
7.0,39265.0,1783.0,5,5,3.0
9.0,38022.0,2367.0,12,12,4.0
0.95,9500.0,1000.0,5,3,2.0
16.0,59259.0,2700.0,16,16,4.0
1.3,8701.0,1494.0,4,4,1.0
11.5,42032.0,2736.0,12,13,4.0
0.47,3519.0,1336.0,3,4,3.0
16.0,35556.0,4500.0,5,6,2.0
7.5,23148.0,3240.0,8,8,3.0
3.5,24305.0,1440.0,6,5,3.0
10.45,38703.0,2700.0,4,5,3.0
0.83,17584.0,472.0,5,3,3.0
3.2,14351.0,2230.0,3,4,1.0
0.62,32291.0,192.0,6,6,3.0
0.45,5000.0,900.0,3,2,1.0
8.0,17707.0,4518.0,12,4,3.0
6.75,27778.0,2430.0,3,3,2.0
0.51,14167.0,360.0,4,4,4.0
9.5,26389.0,3600.0,7,6,3.0
1.04,7172.0,1450.0,3,3,2.0
5.7,14729.0,3870.0,5,5,2.0
0.95,8878.0,1070.0,4,3,1.0
1.64,10123.0,1620.0,3,3,4.0
0.37,7916.0,467.0,1,1,1.0
2.5,13157.0,1900.0,5,5,2.0
5.25,20115.0,2610.0,5,4,3.0
3.55,24500.0,1449.0,5,4,3.0
8.5,18814.0,4518.0,4,4,2.0
11.0,26667.0,4125.0,5,6,3.0
3.71,19818.0,1872.0,3,3,4.0
5.5,5093.0,10799.0,3,3,2.0
4.5,14286.0,3150.0,9,9,3.0
13.5,19286.0,7000.0,9,9,1.0
4.0,16666.0,2400.0,4,4,2.0
6.95,4490.0,15479.0,3,3,2.0
1.65,13750.0,1200.0,1,1,1.0
16.0,26667.0,6000.0,6,5,3.0
12.0,37037.0,3240.0,4,4,3.0
9.8,30247.0,3240.0,4,4,2.0
9.0,11250.0,8000.0,5,5,3.0
2.0,10101.0,1980.0,11,10,3.0
1.4,8235.0,1700.0,2,2,3.0
1.95,21195.0,920.0,3,5,2.0
10.5,261194.0,402.0,4,4,2.0
4.0,40775.0,981.0,4,3,2.0
2.95,15989.0,1845.0,4,4,2.0
2.5,13513.0,1850.0,3,3,2.0
5.0,15432.0,3240.0,4,4,3.0
6.09,33665.0,1809.0,12,11,4.0
0.43,9135.0,471.0,3,3,2.0
1.05,9722.0,1080.0,3,2,1.0
5.4,20690.0,2610.0,4,5,3.0
0.62,12400.0,500.0,3,3,2.0
0.42,9333.0,450.0,5,3,2.0
3.6,14815.0,2430.0,3,3,2.0
9.25,16577.0,5580.0,5,5,4.0
10.0,30864.0,3240.0,6,6,4.0
0.45,12162.0,370.0,4,4,4.0
1.05,7075.0,1484.0,3,3,3.0
10.55,32562.0,3240.0,5,5,2.0
0.35,3500.0,1000.0,1,4,1.0
1.1,12222.0,900.0,6,4,1.0
7.1,32870.0,2160.0,5,4,2.0
0.82,9111.0,900.0,4,3,2.0
0.7,10233.0,684.0,3,2,2.0
8.25,38194.0,2160.0,4,4,3.0
7.99,12519.0,6382.0,4,6,2.0
3.5,218750.0,160.0,6,6,3.0
3.75,25562.0,1467.0,6,6,3.0
0.5,11111.0,450.0,5,3,3.0
2.4,8889.0,2700.0,10,5,2.0
1.3,13499.0,963.0,5,3,3.0
7.0,11240.0,6228.0,5,5,2.0
6.1,25103.0,2430.0,5,6,2.0
4.45,15451.0,2880.0,6,6,3.0
8.0,22222.0,3600.0,6,7,3.0
3.5,21605.0,1620.0,4,4,2.0
3.2,14222.0,2250.0,3,3,2.0
12.0,37037.0,3240.0,5,6,3.0
0.59,10085.0,585.0,2,2,2.0
12.0,37037.0,3240.0,3,4,1.0
9.0,33333.0,2700.0,5,5,3.0
0.37,10277.0,360.0,4,3,3.0
1.72,11111.0,1548.0,6,3,2.0
23.0,25556.0,9000.0,4,4,2.0
4.5,33333.0,1350.0,5,3,3.0
2.95,10926.0,2700.0,4,4,4.0
18.0,55556.0,3240.0,4,4,3.0
0.36,8000.0,450.0,1,1,1.0
1.25,78125.0,160.0,2,3,1.0
6.5,22855.0,2844.0,4,4,2.0
2.1,23333.0,900.0,7,7,3.0
0.9,8928.0,1008.0,3,1,1.0
2.0,14954.0,1337.0,3,1,3.0
0.32,22068.0,145.0,2,2,3.0
4.31,31926.0,1350.0,5,4,3.0
11.5,24573.0,4680.0,5,6,4.0
0.95,7280.0,1305.0,7,6,3.0
15.0,33333.0,4500.0,4,4,2.0
24.0,600000.0,400.0,5,5,1.0
1.45,557.0,26032.0,4,4,2.0
0.75,20833.0,360.0,7,4,4.0
4.7,19847.0,2368.0,6,6,2.0
13.5,29880.0,4518.0,5,5,2.0
8.45,235376.0,359.0,3,3,2.0
10.85,28841.0,3762.0,8,8,3.0
18.25,18250.0,10000.0,7,9,4.0
2.15,13030.0,1650.0,1,1,1.0
3.15,20349.0,1548.0,5,4,2.0
6.25,34722.0,1800.0,5,5,2.0
4.0,21786.0,1836.0,6,6,4.0
0.15,2296.0,653.0,2,1,1.0
4.6,17037.0,2700.0,6,6,3.0
9.5,23333.0,4071.0,5,7,2.0
10.75,29861.0,3600.0,9,9,3.0
0.89,8127.0,1095.0,1,1,1.0
2.55,16378.0,1557.0,3,3,2.0
2.25,16071.0,1400.0,3,3,4.0
3.5,18088.0,1935.0,6,4,2.0
9.9,49500.0,2000.0,2,2,3.0
13.5,29880.0,4518.0,5,5,2.0
0.7,8101.0,864.0,4,2,2.0
0.92,15257.0,603.0,4,1,1.0
1.6,31481.0,508.0,4,4,4.0
2.95,20359.0,1449.0,2,2,1.0
3.5,13410.0,2610.0,9,9,3.0
5.15,26615.0,1935.0,9,9,3.0
